component_id,component_name,type,language,category,license,author,ecosystem,status,created_at,initial_quality,documentation_quality,has_website,has_examples,has_tutorials,has_ci,has_tests,contributors,forks,open_issues,closed_issues,dependencies,dependents
159,super-logging,Driver,Java,Logging,MPL-2.0,Individual Contributors,Maven Central,Maintained,2021-04-16,0.886,0.431,0,1,0,0,1,39,406,45,119,8,1693
160,micro-driver-1160-client,Driver,C#,Networking,Apache-2.0,JetBrains,NuGet,Stable,2016-09-16,0.974,0.885,0,0,1,0,1,36,17,54,59,37,2037
161,simple-api-1161-lib,API,Kotlin,Messaging,Apache-2.0,Facebook,Maven Central,Maintained,2020-06-16,0.975,0.834,0,1,0,0,1,13,816,81,276,3,1053
162,light-library-1162-spring-boot-starter,Library,JavaScript,Build Tool,Apache-2.0,JetBrains,npm,Experimental,2020-06-16,0.918,0.683,0,0,0,1,1,11,862,96,330,45,735
163,simple-ui-components-utils,Starter,Ruby,UI Components,MIT,Spring,RubyGems,Stable,2018-08-16,0.859,1.000,1,0,0,1,0,41,641,92,144,30,471
164,simple-logging-api,Middleware,Kotlin,Logging,ISC,Apache Software Foundation,Maven Central,Stable,2022-11-16,0.801,0.503,0,1,1,0,1,21,221,46,158,41,3091
165,super-plugin-1165,Plugin,JavaScript,Database Driver,AGPL-3.0,Amazon,npm,Deprecated,2022-05-16,0.852,0.339,1,1,0,1,0,2,316,48,284,20,4397
166,micro-driver-1166-core,Driver,Go,Messaging,MIT,Open Source Community,Go Modules,Legacy,2019-12-16,0.893,0.871,0,0,0,0,1,47,211,48,287,29,721
167,simple-big-data-lib,API,C#,Big Data,Apache-2.0,University Research,NuGet,Deprecated,2016-05-16,0.545,0.795,0,0,0,0,0,38,99,19,1,36,2984
168,easy-sdk-1168-client,SDK,Go,Utilities,Unlicense,Facebook,Go Modules,Maintained,2018-12-16,0.707,0.918,0,1,0,1,0,31,946,28,386,13,822
169,mini-driver-1169-spring-boot-starter,Driver,Swift,Machine Learning,LGPL-2.1,Microsoft,Maven Central,Deprecated,2017-12-16,0.730,0.679,0,0,0,0,1,22,399,91,215,3,1175
170,light-driver-1170,Driver,Go,Security,ISC,Red Hat,Go Modules,Legacy,2022-02-16,0.860,0.705,0,0,1,0,0,37,851,1,270,5,24
171,fast-ui-components-api,Plugin,Rust,UI Components,GPL-3.0,Red Hat,Crates.io,Maintained,2019-02-16,0.979,0.642,0,0,1,0,1,24,524,56,52,6,3907
172,fast-starter-1172-core,Starter,C++,Serialization,AGPL-3.0,Open Source Community,Maven Central,Active,2021-03-16,0.529,0.327,0,0,0,1,0,1,974,23,377,15,3604
173,micro-framework-1173-api,Framework,Python,Logging,ISC,Individual Contributors,PyPI,Deprecated,2022-02-16,0.898,0.367,1,0,0,0,0,19,300,82,464,45,921
174,fast-plugin-1174,Plugin,Kotlin,Code Analysis,ISC,Microsoft,Maven Central,Legacy,2021-03-16,0.511,0.455,1,0,1,0,0,48,554,98,22,43,3893
175,fast-plugin-1175-core,Plugin,Rust,Security,MIT,JetBrains,Crates.io,Maintained,2022-05-16,0.870,0.691,0,0,0,0,1,24,84,37,486,30,1987
176,light-networking-lib,Starter,Ruby,Networking,GPL-3.0,Eclipse Foundation,RubyGems,Experimental,2017-12-16,0.807,0.544,0,0,1,1,0,36,543,14,109,3,953
177,mini-framework-1177-api,Framework,Go,Database Driver,AGPL-3.0,Eclipse Foundation,Go Modules,Active,2019-10-16,0.683,0.708,0,0,0,0,1,7,183,54,183,10,4137
178,logging-lib,Driver,Ruby,Logging,GPL-3.0,Apache Software Foundation,RubyGems,Maintained,2019-04-16,0.803,0.517,1,1,0,1,1,47,703,63,448,6,1161
179,awesome-sdk-1179-spring-boot-starter,SDK,Swift,Web Framework,AGPL-3.0,Individual Contributors,Maven Central,Active,2017-05-16,0.778,0.338,0,0,0,1,1,40,387,20,151,16,3467
180,super-framework-1180-client,Framework,Swift,Testing,EPL-2.0,Facebook,Maven Central,Legacy,2017-03-16,0.591,0.326,0,0,1,0,0,44,664,33,201,49,876
181,fast-machine-learning,Library,JavaScript,Machine Learning,LGPL-2.1,Red Hat,npm,Active,2022-01-16,0.836,0.769,0,1,0,1,1,11,341,51,256,12,4116
182,simple-testing-api,Starter,Rust,Testing,ISC,Spring,Crates.io,Maintained,2017-06-16,0.917,0.585,1,0,0,1,1,5,84,77,103,13,1022
183,simple-driver-1183-core,Driver,Python,Security,ISC,Open Source Community,PyPI,Maintained,2020-06-16,0.851,0.304,0,1,0,0,1,3,298,17,445,42,4394
184,mini-driver-1184-client,Driver,Kotlin,Serialization,EPL-2.0,VMware,Maven Central,Legacy,2021-05-16,0.837,0.455,0,0,0,0,1,12,882,2,42,44,4130
185,mini-plugin-1185-core,Plugin,Ruby,Messaging,Apache-2.0,Facebook,RubyGems,Experimental,2017-11-16,0.690,0.217,1,0,1,1,1,36,373,53,340,41,844
186,mini-tool-1186,Tool,Java,Database Driver,ISC,VMware,Maven Central,Active,2020-11-16,0.660,0.334,0,0,0,1,0,32,812,79,322,25,1177
187,sdk-1187-api,SDK,Go,UI Components,BSD-3-Clause,Spring,Go Modules,Experimental,2021-09-16,0.898,0.270,0,0,0,1,1,26,285,77,346,9,1678
188,mini-ui-components,SDK,Ruby,UI Components,Apache-2.0,Amazon,RubyGems,Maintained,2021-07-16,0.933,0.934,0,1,0,0,0,19,886,73,119,7,818
189,light-big-data-lib,Tool,PHP,Big Data,ISC,Spring,Maven Central,Stable,2023-03-16,0.868,0.849,1,0,0,0,1,30,97,61,145,33,1662
190,micro-driver-1190-client,Driver,JavaScript,Security,Apache-2.0,VMware,npm,Experimental,2016-07-16,0.799,0.740,0,0,1,1,0,15,987,78,369,19,3128
191,easy-library-1191-spring-boot-starter,Library,PHP,Big Data,GPL-3.0,VMware,Maven Central,Active,2018-06-16,0.960,0.470,0,0,0,0,1,23,464,83,73,20,1404
192,fast-build-tool,Framework,TypeScript,Build Tool,Unlicense,VMware,npm,Maintained,2021-12-16,0.862,0.759,0,1,0,1,1,42,996,74,143,2,1892
193,mini-api-1193-utils,API,Rust,Networking,EPL-2.0,Spring,Crates.io,Experimental,2023-01-16,0.664,0.746,1,0,0,0,0,31,339,49,98,26,2150
194,simple-framework-1194,Framework,Kotlin,Code Analysis,AGPL-3.0,Spring,Maven Central,Deprecated,2023-05-16,0.531,0.244,0,1,0,1,1,16,81,65,138,24,4934
195,library-1195-spring-boot-starter,Library,Java,Serialization,Unlicense,Apache Software Foundation,Maven Central,Stable,2017-04-16,0.732,0.931,0,0,1,1,1,38,658,90,203,0,3055
196,mini-library-1196-client,Library,Kotlin,Caching,LGPL-2.1,University Research,Maven Central,Stable,2016-11-16,0.718,0.532,0,1,1,0,0,33,17,83,97,39,829
197,micro-api-1197-spring-boot-starter,API,Swift,Security,GPL-3.0,Eclipse Foundation,Maven Central,Active,2019-12-16,0.939,0.843,1,1,1,0,1,30,164,66,37,33,2741
198,simple-library-1198-spring-boot-starter,Library,Go,Machine Learning,Apache-2.0,Apache Software Foundation,Go Modules,Active,2021-04-16,0.652,0.544,0,1,0,1,1,21,997,9,93,25,1402
199,tool-1199-client,Tool,C++,Serialization,MPL-2.0,Facebook,Maven Central,Deprecated,2017-08-16,0.960,0.353,0,1,1,1,0,6,386,53,231,16,3265
200,super-tool-1200-core,Tool,Rust,Machine Learning,Apache-2.0,Open Source Community,Crates.io,Experimental,2018-03-16,0.834,0.572,0,0,0,1,1,5,533,45,274,26,1205
201,super-web-framework-client,Template,Kotlin,Web Framework,MPL-2.0,Google,Maven Central,Stable,2019-09-16,0.884,0.764,0,0,1,0,1,18,227,75,374,31,3635
202,simple-library-1202-core,Library,PHP,Machine Learning,Apache-2.0,Google,Maven Central,Maintained,2017-01-16,0.602,0.336,0,1,0,0,1,29,32,69,115,15,485
203,easy-driver-1203-spring-boot-starter,Driver,TypeScript,Networking,Apache-2.0,JetBrains,npm,Active,2019-05-16,0.848,0.848,0,1,1,0,1,27,768,52,98,24,4650
204,fast-middleware-1204-utils,Middleware,Ruby,Logging,MPL-2.0,Red Hat,RubyGems,Maintained,2019-08-16,0.827,0.618,0,1,0,1,0,39,527,84,85,2,3251
205,easy-messaging-utils,Driver,Python,Messaging,AGPL-3.0,University Research,PyPI,Experimental,2017-07-16,0.790,0.671,0,0,0,1,1,40,681,12,22,19,1006
206,light-middleware-1206-client,Middleware,JavaScript,Machine Learning,AGPL-3.0,JetBrains,npm,Legacy,2020-04-16,0.736,0.768,0,1,1,0,0,43,426,90,240,37,303
207,micro-plugin-1207-core,Plugin,Scala,Utilities,ISC,Amazon,Maven Central,Experimental,2023-08-16,0.836,0.587,0,0,0,0,0,42,909,68,427,24,1609
208,mini-api-1208,API,Rust,Serialization,LGPL-2.1,Individual Contributors,Crates.io,Maintained,2016-12-16,0.856,0.586,0,1,1,1,1,24,768,59,155,35,3176
209,simple-plugin-1209-client,Plugin,Python,Documentation,Unlicense,JetBrains,PyPI,Legacy,2018-06-16,0.807,0.808,0,1,1,0,0,31,261,7,224,13,793
210,awesome-starter-1210-spring-boot-starter,Starter,Go,Machine Learning,EPL-2.0,Open Source Community,Go Modules,Maintained,2019-08-16,0.587,0.781,0,1,0,1,1,16,97,87,235,2,1703
211,super-template-1211-lib,Template,JavaScript,Security,AGPL-3.0,Spring,npm,Stable,2016-05-16,0.855,1.000,1,0,1,1,1,13,153,80,194,13,1814
212,easy-plugin-1212-core,Plugin,Kotlin,Documentation,LGPL-2.1,Amazon,Maven Central,Legacy,2017-12-16,0.895,0.606,0,1,0,0,1,17,303,94,135,32,3427
213,light-library-1213,Library,Java,Web Framework,AGPL-3.0,Microsoft,Maven Central,Experimental,2020-08-16,0.537,0.405,0,0,1,0,1,32,189,55,101,44,4837
214,easy-plugin-1214,Plugin,Rust,Testing,MPL-2.0,VMware,Crates.io,Experimental,2021-10-16,0.685,0.560,0,0,0,1,1,46,340,22,489,33,3897
215,simple-networking-lib,Tool,Java,Networking,EPL-2.0,Open Source Community,Maven Central,Active,2023-01-16,0.550,0.908,0,1,1,0,0,2,636,86,66,11,2466
216,micro-logging,Driver,PHP,Logging,ISC,Apache Software Foundation,Maven Central,Legacy,2016-09-16,0.554,0.595,0,0,1,0,0,26,762,81,69,28,3738
217,micro-messaging-core,Template,JavaScript,Messaging,MPL-2.0,Amazon,npm,Active,2020-05-16,0.966,0.501,0,1,1,0,0,35,328,54,33,32,2606
218,super-machine-learning-api,Middleware,C#,Machine Learning,ISC,Google,NuGet,Legacy,2022-11-16,0.768,0.457,0,1,0,0,0,42,788,73,242,44,226
219,fast-framework-1219-api,Framework,C++,Logging,Unlicense,Open Source Community,Maven Central,Maintained,2018-11-16,0.980,0.912,0,0,0,0,0,39,725,86,205,1,2106
220,awesome-machine-learning-api,Template,C#,Machine Learning,Apache-2.0,Amazon,NuGet,Legacy,2020-12-16,0.960,0.564,0,0,0,0,1,8,453,19,328,14,324
221,super-big-data-spring-boot-starter,Starter,Kotlin,Big Data,ISC,Eclipse Foundation,Maven Central,Deprecated,2016-09-16,0.901,0.609,0,1,1,0,1,34,898,47,270,24,1828
222,super-tool-1222-spring-boot-starter,Tool,TypeScript,Caching,GPL-3.0,Google,npm,Maintained,2017-05-16,0.714,0.971,1,0,0,1,1,24,28,84,72,1,1551
223,fast-sdk-1223-api,SDK,Java,Messaging,ISC,Microsoft,Maven Central,Stable,2023-08-16,0.716,1.000,0,1,0,1,1,42,250,68,262,44,4649
224,super-driver-1224-client,Driver,Scala,Build Tool,Unlicense,Microsoft,Maven Central,Deprecated,2019-12-16,0.706,0.646,1,0,0,0,0,20,608,6,372,12,3917
225,awesome-library-1225-api,Library,Java,Caching,LGPL-2.1,JetBrains,Maven Central,Deprecated,2019-04-16,0.810,0.719,1,1,1,1,0,17,481,87,22,12,464
226,easy-build-tool-utils,Framework,JavaScript,Build Tool,ISC,Google,npm,Stable,2022-09-16,0.687,0.933,1,0,1,1,0,20,241,71,271,18,3924
227,fast-template-1227,Template,C++,Utilities,MPL-2.0,Red Hat,Maven Central,Legacy,2017-01-16,0.583,0.983,0,1,0,0,0,49,86,49,149,15,2087
228,mini-starter-1228-api,Starter,C++,Database Driver,ISC,JetBrains,Maven Central,Maintained,2016-05-16,0.922,0.797,1,0,0,0,1,9,626,41,303,8,815
229,fast-starter-1229-spring-boot-starter,Starter,PHP,Build Tool,Apache-2.0,University Research,Maven Central,Legacy,2022-06-16,0.640,0.411,0,1,0,0,0,36,756,70,402,0,850
230,simple-library-1230-client,Library,PHP,Code Analysis,Apache-2.0,Amazon,Maven Central,Legacy,2022-10-16,0.874,0.542,0,1,1,0,0,46,91,22,430,29,3405
231,mini-library-1231-client,Library,TypeScript,Caching,AGPL-3.0,Spring,npm,Deprecated,2018-09-16,0.513,0.464,0,0,0,0,0,39,929,28,297,15,3139
232,light-starter-1232-utils,Starter,Go,Code Analysis,Apache-2.0,Facebook,Go Modules,Experimental,2016-11-16,0.771,0.768,0,0,0,0,1,11,647,76,338,36,4199
233,micro-middleware-1233,Middleware,TypeScript,Code Analysis,LGPL-2.1,Google,npm,Deprecated,2020-09-16,0.682,0.707,0,1,0,1,1,17,395,42,319,9,719
234,awesome-middleware-1234,Middleware,Ruby,Code Analysis,Unlicense,Open Source Community,RubyGems,Experimental,2021-11-16,0.500,0.374,0,0,0,0,1,41,289,30,141,41,720
235,simple-tool-1235-spring-boot-starter,Tool,Scala,UI Components,Unlicense,Individual Contributors,Maven Central,Legacy,2018-04-16,0.657,0.895,0,0,0,0,0,8,998,92,120,30,1854
236,micro-template-1236-utils,Template,Kotlin,Caching,EPL-2.0,Google,Maven Central,Deprecated,2021-04-16,0.770,0.385,1,1,1,1,1,27,253,1,19,37,733
237,super-api-1237-api,API,TypeScript,Utilities,MPL-2.0,Facebook,npm,Maintained,2019-04-16,0.718,0.981,0,1,0,1,1,14,818,56,391,48,992
238,super-code-analysis-lib,Library,JavaScript,Code Analysis,Unlicense,Amazon,npm,Stable,2016-08-16,0.553,0.985,0,1,0,0,1,34,130,21,232,38,4621
239,mini-tool-1239,Tool,PHP,Messaging,BSD-3-Clause,Spring,Maven Central,Legacy,2016-07-16,0.990,0.692,1,1,0,0,0,9,281,84,389,44,1078
240,light-framework-1240-spring-boot-starter,Framework,Java,Testing,Unlicense,Apache Software Foundation,Maven Central,Experimental,2020-12-16,0.736,0.770,0,0,1,1,1,5,103,13,181,1,3347
241,awesome-plugin-1241-utils,Plugin,JavaScript,Utilities,ISC,Facebook,npm,Deprecated,2018-09-16,0.624,0.246,0,1,0,0,0,20,426,74,16,41,4966
242,super-framework-1242,Framework,Python,Machine Learning,MPL-2.0,Red Hat,PyPI,Stable,2023-10-16,0.556,0.750,0,0,0,0,0,35,89,46,273,1,4135
243,micro-driver-1243-api,Driver,Ruby,Machine Learning,GPL-3.0,Eclipse Foundation,RubyGems,Stable,2016-05-16,0.997,1.000,1,1,0,1,1,60,809,86,174,39,2732
244,middleware-1244-api,Middleware,Java,Testing,GPL-3.0,Open Source Community,Maven Central,Maintained,2019-09-16,0.566,0.743,0,0,0,0,0,7,110,9,104,30,2192
245,super-library-1245-core,Library,Kotlin,Serialization,GPL-3.0,Open Source Community,Maven Central,Experimental,2017-11-16,0.755,0.250,0,0,1,0,1,10,363,36,283,44,455
246,security-core,API,Ruby,Security,ISC,Amazon,RubyGems,Legacy,2019-06-16,0.797,0.923,0,1,0,0,0,29,237,50,3,14,2549
247,utilities-api,Library,Go,Utilities,AGPL-3.0,Amazon,Go Modules,Legacy,2016-06-16,0.743,0.858,0,1,0,0,0,49,212,35,30,15,1027
248,light-middleware-1248-core,Middleware,Python,Build Tool,MPL-2.0,Microsoft,PyPI,Maintained,2017-09-16,0.741,0.882,0,1,0,0,1,49,879,9,457,43,3994
249,micro-library-1249-api,Library,Ruby,Machine Learning,AGPL-3.0,Amazon,RubyGems,Maintained,2023-05-16,0.507,0.585,1,0,0,1,0,37,194,44,106,41,1920
250,micro-library-1250-client,Library,Swift,Networking,EPL-2.0,Amazon,Maven Central,Active,2018-12-16,0.836,0.514,0,1,0,1,1,39,941,10,199,18,3456
251,mini-framework-1251-utils,Framework,Rust,UI Components,GPL-3.0,Eclipse Foundation,Crates.io,Experimental,2017-06-16,0.834,0.103,1,0,0,1,1,5,955,29,83,46,2686
252,mini-framework-1252-spring-boot-starter,Framework,Swift,Serialization,Unlicense,Individual Contributors,Maven Central,Deprecated,2019-03-16,0.758,0.276,0,0,1,0,0,10,592,76,290,21,485
253,simple-plugin-1253-lib,Plugin,C++,Utilities,GPL-3.0,Eclipse Foundation,Maven Central,Experimental,2023-03-16,0.644,0.422,0,0,0,0,1,5,585,98,165,18,2210
254,fast-library-1254-api,Library,Swift,UI Components,EPL-2.0,JetBrains,Maven Central,Stable,2019-06-16,0.625,1.000,0,0,1,0,1,57,56,45,111,47,2128
255,mini-caching-spring-boot-starter,Framework,Ruby,Caching,AGPL-3.0,Amazon,RubyGems,Deprecated,2021-03-16,0.683,0.853,1,1,1,0,0,32,523,87,113,41,3052
256,mini-library-1256,Library,PHP,Networking,MIT,Eclipse Foundation,Maven Central,Active,2021-08-16,0.599,0.776,0,0,0,1,0,39,812,54,206,25,2842
257,ui-components-lib,Starter,Scala,UI Components,EPL-2.0,JetBrains,Maven Central,Active,2019-11-16,0.832,0.371,0,0,0,0,0,28,785,1,186,23,4630
258,micro-driver-1258-utils,Driver,Kotlin,Messaging,ISC,JetBrains,Maven Central,Active,2020-05-16,0.600,0.661,1,0,0,0,0,10,989,48,10,2,2971
259,awesome-ui-components-api,Plugin,C++,UI Components,ISC,University Research,Maven Central,Legacy,2017-10-16,0.885,0.306,0,1,1,0,0,27,749,18,41,36,2086
260,easy-framework-1260-api,Framework,Rust,UI Components,GPL-3.0,Red Hat,Crates.io,Experimental,2016-09-16,0.644,0.454,0,0,0,1,1,22,75,57,232,34,1658
261,micro-starter-1261-core,Starter,Scala,Logging,GPL-3.0,Individual Contributors,Maven Central,Stable,2016-04-16,0.949,0.612,0,0,0,0,0,37,196,84,150,9,1612
262,micro-library-1262-core,Library,Ruby,UI Components,Unlicense,Google,RubyGems,Stable,2020-01-16,0.814,0.849,1,0,1,1,1,46,541,23,199,35,4448
263,fast-sdk-1263-utils,SDK,Go,Testing,MPL-2.0,Amazon,Go Modules,Experimental,2021-06-16,0.975,0.709,0,0,1,0,1,43,409,98,428,36,1553
264,mini-driver-1264-lib,Driver,C#,Big Data,LGPL-2.1,Microsoft,NuGet,Legacy,2018-05-16,0.844,0.768,0,0,1,0,0,48,972,13,28,1,724
265,micro-template-1265-lib,Template,Scala,Code Analysis,AGPL-3.0,Open Source Community,Maven Central,Deprecated,2017-03-16,0.911,0.795,0,1,0,1,1,44,442,64,480,3,365
266,fast-sdk-1266-core,SDK,Ruby,Testing,GPL-3.0,Spring,RubyGems,Stable,2020-03-16,0.836,0.660,0,0,1,1,1,59,271,15,35,32,2191
267,awesome-tool-1267-client,Tool,Kotlin,Web Framework,Unlicense,Apache Software Foundation,Maven Central,Legacy,2021-03-16,0.976,0.340,0,1,1,0,1,32,744,62,493,25,4671
268,mini-starter-1268-client,Starter,Swift,Serialization,GPL-3.0,Spring,Maven Central,Maintained,2022-08-16,0.701,0.507,0,0,0,0,1,22,375,26,321,41,580
269,template-1269-api,Template,Java,Testing,MPL-2.0,Facebook,Maven Central,Stable,2022-11-16,0.895,0.845,0,0,0,1,1,41,68,84,364,18,3665
270,simple-tool-1270-core,Tool,Scala,Logging,MIT,VMware,Maven Central,Experimental,2021-09-16,0.825,0.784,0,0,0,1,1,10,393,80,177,22,3748
271,micro-sdk-1271-lib,SDK,C++,Security,EPL-2.0,JetBrains,Maven Central,Active,2020-01-16,0.516,0.308,0,1,1,0,0,3,585,48,336,16,2505
272,awesome-security-spring-boot-starter,Plugin,Kotlin,Security,ISC,University Research,Maven Central,Deprecated,2021-07-16,0.563,0.683,0,1,0,0,1,42,880,11,484,9,4188
273,mini-documentation-api,Library,TypeScript,Documentation,LGPL-2.1,Individual Contributors,npm,Maintained,2022-09-16,0.522,0.930,0,1,0,0,1,16,299,85,438,40,3801
274,light-networking-api,Starter,TypeScript,Networking,Unlicense,JetBrains,npm,Deprecated,2016-09-16,0.705,0.688,0,0,0,0,1,36,750,26,70,34,1764
275,mini-plugin-1275-core,Plugin,Ruby,Web Framework,GPL-3.0,Spring,RubyGems,Deprecated,2022-11-16,0.607,0.648,0,1,0,1,0,17,147,7,207,42,3112
276,awesome-driver-1276-spring-boot-starter,Driver,Swift,Serialization,GPL-3.0,Red Hat,Maven Central,Stable,2022-12-16,0.735,0.890,0,1,1,1,0,38,560,27,258,19,4666
277,mini-api-1277-client,API,C++,Networking,EPL-2.0,Spring,Maven Central,Deprecated,2017-08-16,0.572,0.382,0,1,0,0,0,22,609,11,90,4,4847
278,mini-logging-utils,Framework,C#,Logging,ISC,Spring,NuGet,Maintained,2018-10-16,0.942,0.785,1,1,0,1,0,42,185,97,45,24,1865
279,micro-tool-1279-spring-boot-starter,Tool,Python,Messaging,Unlicense,Open Source Community,PyPI,Maintained,2021-07-16,0.504,0.323,1,0,0,0,1,28,540,91,497,33,1989
280,easy-middleware-1280,Middleware,Kotlin,Machine Learning,MPL-2.0,University Research,Maven Central,Legacy,2016-11-16,0.655,0.451,0,0,1,0,0,27,399,80,462,11,3759
281,simple-security,Starter,Scala,Security,MIT,Individual Contributors,Maven Central,Maintained,2017-05-16,0.565,0.596,0,1,1,0,1,15,213,9,345,33,4571
282,micro-starter-1282-lib,Starter,Rust,Documentation,LGPL-2.1,Open Source Community,Crates.io,Experimental,2021-01-16,0.604,0.795,0,0,1,1,0,42,667,5,226,17,101
283,micro-web-framework,Framework,C#,Web Framework,MPL-2.0,Spring,NuGet,Maintained,2017-01-16,0.921,0.498,0,0,1,0,1,44,268,80,145,42,4745
284,easy-sdk-1284-lib,SDK,Scala,Testing,ISC,JetBrains,Maven Central,Legacy,2017-10-16,0.903,0.979,1,0,0,0,0,35,724,74,481,33,2475
285,light-driver-1285-api,Driver,PHP,Serialization,ISC,VMware,Maven Central,Deprecated,2019-03-16,0.647,0.272,1,0,0,0,1,18,719,66,282,22,3998
286,light-security-api,Driver,PHP,Security,AGPL-3.0,VMware,Maven Central,Maintained,2021-03-16,0.872,0.361,0,1,0,1,1,21,66,69,300,33,2228
287,driver-1287-client,Driver,JavaScript,Documentation,BSD-3-Clause,Google,npm,Stable,2022-03-16,0.837,0.575,1,0,1,1,1,24,755,39,359,23,627
288,light-web-framework,Middleware,Swift,Web Framework,LGPL-2.1,Spring,Maven Central,Active,2020-12-16,0.692,0.423,0,0,0,1,1,23,494,2,376,28,590
289,simple-database-driver-spring-boot-starter,Library,Java,Database Driver,MPL-2.0,Individual Contributors,Maven Central,Experimental,2019-09-16,0.556,0.609,0,0,1,0,1,12,359,42,436,1,2408
290,micro-middleware-1290-lib,Middleware,TypeScript,Networking,AGPL-3.0,VMware,npm,Legacy,2017-02-16,0.750,0.663,0,1,1,0,1,34,633,11,121,21,2399
291,sdk-1291-spring-boot-starter,SDK,Kotlin,Database Driver,Apache-2.0,Open Source Community,Maven Central,Stable,2016-07-16,0.689,0.789,1,1,0,0,0,40,420,81,126,16,2558
292,awesome-library-1292-core,Library,Swift,Caching,MPL-2.0,University Research,Maven Central,Deprecated,2019-08-16,0.648,0.434,1,1,0,1,1,1,933,13,198,28,4628
293,mini-framework-1293-api,Framework,Python,Serialization,Apache-2.0,VMware,PyPI,Stable,2018-04-16,0.686,0.748,1,0,1,1,1,34,224,12,65,11,4867
294,light-template-1294-spring-boot-starter,Template,TypeScript,Security,Apache-2.0,VMware,npm,Experimental,2020-05-16,0.551,0.152,0,0,1,1,1,14,200,79,377,22,1087
295,mini-middleware-1295-client,Middleware,PHP,Utilities,BSD-3-Clause,Facebook,Maven Central,Legacy,2019-02-16,0.760,0.419,0,1,1,0,0,25,787,71,204,20,2475
296,awesome-middleware-1296-spring-boot-starter,Middleware,C#,Testing,AGPL-3.0,Microsoft,NuGet,Maintained,2020-03-16,0.842,0.463,0,1,1,0,1,34,955,73,212,4,1555
297,awesome-messaging-core,Middleware,Ruby,Messaging,LGPL-2.1,Spring,RubyGems,Active,2016-08-16,0.501,0.733,0,0,1,0,1,22,422,24,440,10,3851
298,simple-code-analysis-utils,Tool,C++,Code Analysis,LGPL-2.1,Facebook,Maven Central,Experimental,2016-05-16,0.963,0.663,1,0,1,1,1,17,942,59,105,12,1800
299,super-driver-1299-client,Driver,Scala,Testing,MPL-2.0,Open Source Community,Maven Central,Deprecated,2021-02-16,0.735,0.716,0,1,0,0,1,27,217,61,345,36,4606
300,micro-api-1300-client,API,Rust,Caching,Apache-2.0,Apache Software Foundation,Crates.io,Active,2023-03-16,0.545,0.789,1,1,1,0,0,22,153,35,286,21,456
301,mini-framework-1301-lib,Framework,Scala,UI Components,MIT,Amazon,Maven Central,Active,2019-05-16,0.705,0.418,0,1,1,0,0,30,91,81,210,4,1162
302,simple-sdk-1302,SDK,Go,Messaging,MIT,JetBrains,Go Modules,Legacy,2021-06-16,0.646,0.437,0,1,1,0,0,8,571,94,235,49,2681
303,awesome-sdk-1303-client,SDK,Python,Machine Learning,Apache-2.0,VMware,PyPI,Active,2018-01-16,0.880,0.870,1,1,0,1,1,9,800,51,296,37,1874
304,library-1304-core,Library,C#,Web Framework,MIT,University Research,NuGet,Deprecated,2022-12-16,0.831,0.212,1,1,1,1,1,21,861,66,479,21,872
305,awesome-utilities,API,TypeScript,Utilities,EPL-2.0,Microsoft,npm,Maintained,2019-01-16,0.696,0.338,1,1,1,1,1,41,403,42,379,10,2928
306,light-library-1306-core,Library,Rust,Machine Learning,LGPL-2.1,University Research,Crates.io,Maintained,2022-08-16,0.758,0.830,0,0,0,1,1,41,92,23,223,33,1743
307,light-tool-1307-utils,Tool,C++,Messaging,EPL-2.0,JetBrains,Maven Central,Maintained,2023-05-16,0.534,0.796,0,1,0,1,0,2,462,29,0,18,9
308,micro-database-driver-api,Plugin,JavaScript,Database Driver,GPL-3.0,Amazon,npm,Stable,2021-04-16,0.716,1.000,1,0,1,0,1,24,731,83,257,41,4818
309,simple-framework-1309-core,Framework,C#,Testing,BSD-3-Clause,Open Source Community,NuGet,Experimental,2023-05-16,0.624,0.216,1,0,1,1,1,10,9,11,30,37,2565
310,micro-template-1310-utils,Template,Swift,Build Tool,BSD-3-Clause,Eclipse Foundation,Maven Central,Maintained,2023-11-16,0.902,0.368,1,0,0,0,0,18,227,32,40,33,454
311,micro-utilities-client,SDK,JavaScript,Utilities,ISC,Spring,npm,Stable,2019-08-16,0.722,0.697,1,0,1,0,1,14,862,75,15,30,1019
312,awesome-starter-1312-client,Starter,PHP,Messaging,AGPL-3.0,VMware,Maven Central,Stable,2018-06-16,0.733,0.503,0,1,0,1,0,11,796,78,225,32,4310
313,easy-logging-spring-boot-starter,Framework,C#,Logging,GPL-3.0,Microsoft,NuGet,Active,2018-10-16,0.523,0.828,0,0,1,1,1,38,691,30,264,9,2164
314,super-tool-1314-client,Tool,C++,Machine Learning,BSD-3-Clause,Individual Contributors,Maven Central,Active,2016-12-16,0.820,0.811,0,1,0,0,1,43,773,87,180,44,952
315,light-networking-api,Plugin,C++,Networking,AGPL-3.0,Apache Software Foundation,Maven Central,Deprecated,2016-03-16,0.708,0.729,0,0,1,0,1,31,432,73,332,36,591
316,starter-1316-lib,Starter,Python,Documentation,EPL-2.0,Open Source Community,PyPI,Maintained,2022-05-16,0.581,0.383,0,0,0,1,1,8,63,12,36,30,2037
317,super-plugin-1317-api,Plugin,Python,Messaging,LGPL-2.1,Microsoft,PyPI,Legacy,2022-04-16,0.612,0.862,0,1,1,0,1,7,886,0,169,4,2797
